Date,Signal
2025-04-10,BUY
2025-04-11,HOLD
2025-04-14,HOLD
2025-04-15,SELL
2025-04-16,SELL
2025-04-17,BUY
2025-04-21,BUY
2025-04-22,SELL
2025-04-23,HOLD
2025-04-24,BUY
2025-04-25,BUY
2025-04-28,BUY
2025-04-29,BUY
2025-04-30,SELL
2025-05-01,SELL
2025-05-02,SELL
2025-05-05,SELL
2025-05-06,HOLD
2025-05-07,HOLD
2025-05-08,SELL
2025-05-09,BUY
2025-05-12,BUY
2025-05-13,SELL
2025-05-14,BUY
2025-05-15,SELL
2025-05-16,BUY
2025-05-19,SELL
2025-05-20,BUY
2025-05-21,BUY
2025-05-22,BUY
2025-05-23,SELL
2025-05-26,BUY
2025-05-27,BUY
2025-05-28,BUY
2025-05-29,BUY
2025-05-30,SELL
2025-06-02,BUY
2025-06-03,BUY
2025-06-04,HOLD
2025-06-05,SELL
2025-06-06,HOLD
2025-06-09,BUY
2025-06-10,SELL
2025-06-11,HOLD
2025-06-12,BUY
2025-06-13,BUY
2025-06-16,BUY
2025-06-17,BUY
2025-06-18,SELL
2025-06-20,BUY
